"Name","LEARNING_RATE","LSTM_UNITS","train_loss","val_loss"
"silver-sweep-77","0.001","4 4","",""
"silvery-sweep-76","0.1","4 4","0.1087622120976448","0.29125308990478516"
"royal-sweep-75","0.1","16","0.04787588492035866","0.14253965020179749"
"leafy-sweep-74","0.01","16","0.047904498875141144","0.12710487842559814"
"northern-sweep-73","0.01","8","0.05830443277955055","0.1251647025346756"
"autumn-sweep-72","0.1","4 4","0.08610024303197861","0.22184394299983975"
"different-sweep-71","0.01","8","0.05969773232936859","0.12088926136493684"
"dainty-sweep-70","0.1","4","0.08058048784732819","0.14761249721050262"
"sleek-sweep-69","0.0003","8","0.0609455443918705","0.13137033581733704"
"glorious-sweep-68","0.01","32","0.04400162026286125","0.13493049144744873"
"jolly-sweep-67","0.0003","4 4","0.08777416497468948","0.23575586080551147"
"fast-sweep-66","0.01","2","0.17366935312747955","0.30454644560813904"
"jumping-sweep-65","0.0003","32","0.0438137985765934","0.1225057914853096"
"swept-sweep-64","0.0003","2 2","0.17779269814491272","0.28664878010749817"
"proud-sweep-63","0.001","4 4","0.08467653393745422","0.19737933576107025"
"earthy-sweep-62","0.001","2 2","0.15976887941360474","0.24092383682727816"
"firm-sweep-61","0.001","2","0.16803663969039917","0.29822030663490295"
"restful-sweep-60","0.1","32","0.04766218736767769","0.16947077214717865"
"super-sweep-59","0.001","32","0.04827236756682396","0.16743631660938263"
"restful-sweep-58","0.1","16","0.04684201255440712","0.13669387996196747"
"lyric-sweep-57","0.01","4","0.09212320297956468","0.1936324238777161"
"dark-sweep-56","0.01","32","0.05590132996439934","0.1844741702079773"
"vivid-sweep-55","0.001","2","0.15574510395526886","0.23099257051944733"
"astral-sweep-54","0.0003","8","0.06196834519505501","0.14545615017414093"
"cerulean-sweep-53","0.1","8","0.06047998741269112","0.15445545315742493"
"kind-sweep-52","0.0003","8","0.07885514199733734","0.21436579525470736"
"warm-sweep-51","0.0003","4","0.08293142914772034","0.15344740450382233"
"classic-sweep-50","0.001","8","0.061084967106580734","0.1554001122713089"
"neat-sweep-49","0.01","2 2","0.31894201040267944","0.547663688659668"
"true-sweep-48","0.1","32","0.048732757568359375","0.1276078224182129"
"copper-sweep-47","0.01","8","0.06450103223323822","0.17793558537960052"
"zany-sweep-46","0.001","32","0.05072106793522835","0.13501739501953125"
"misunderstood-sweep-45","0.001","8","0.059435922652482986","0.13502517342567444"
"deep-sweep-44","0.1","8","0.06640616804361343","0.14049777388572693"
"grateful-sweep-43","0.01","4","0.08533889800310135","0.1504054069519043"
"swept-sweep-42","0.01","2","0.15489381551742554","0.23337410390377045"
"denim-sweep-41","0.1","32","0.05231437832117081","0.1296323835849762"
"magic-sweep-40","0.0003","4 4","0.0809096097946167","0.19567342102527616"
"lunar-sweep-39","0.001","2","0.1496318876743317","0.22049649059772491"
"valiant-sweep-38","0.01","8","0.058900922536849976","0.13912083208560944"
"confused-sweep-37","0.1","32","0.04690384119749069","0.11948190629482268"
"restful-sweep-36","0.001","2","0.1657472997903824","0.2619517147541046"
"sweepy-sweep-35","0.1","2 2","0.16087324917316437","0.2654228210449219"
"polar-sweep-34","0.0003","2 2","0.18850332498550415","0.3812694251537323"
"daily-sweep-33","0.01","32","0.04711471498012543","0.1749618649482727"
"visionary-sweep-32","0.01","2 2","0.2242148071527481","0.6107853651046753"
"robust-sweep-31","0.0003","4 4","0.08794166147708893","0.21107132732868197"
"stellar-sweep-30","0.1","4","0.08118824660778046","0.1621636599302292"
"treasured-sweep-29","0.001","4","0.08277978748083115","0.15373392403125763"
"brisk-sweep-28","0.001","16","0.05305345356464386","0.15049074590206146"
"vague-sweep-27","0.1","2","0.15808427333831787","0.2600689232349396"
"distinctive-sweep-26","0.01","16","0.05173126235604286","0.14985306560993197"
"ethereal-sweep-25","0.001","8","0.06147816404700279","0.1448359191417694"
"swept-sweep-24","0.001","2","0.1542567014694214","0.2226274311542511"
"resilient-sweep-23","0.01","32","0.04595132917165756","0.20821289718151093"
"morning-sweep-22","0.1","16","0.051521409302949905","0.13392828404903412"
"splendid-sweep-21","0.0003","4 4","0.10193347185850143","0.29712849855422974"
"bright-sweep-20","0.001","4","0.09160166233778","0.1786995679140091"
"fine-sweep-19","0.0003","4","0.08226367831230164","0.1706952303647995"
"super-sweep-18","0.01","2 2","0.18654687702655792","0.35643452405929565"
"firm-sweep-17","0.001","4","0.08595634996891022","0.1963803768157959"
"ethereal-sweep-16","0.1","4","0.08685514330863953","0.1589936912059784"
"eager-sweep-15","0.0003","8","0.060693640261888504","0.14266425371170044"
"good-sweep-14","0.01","16","0.04832787066698074","0.14520126581192017"
"spring-sweep-13","0.1","4 4","0.08626570552587509","0.21869005262851715"
"denim-sweep-12","0.0003","4","0.08434253185987473","0.15157870948314667"
"drawn-sweep-11","0.1","2","0.1529451608657837","0.24186255037784576"
"polished-sweep-10","0.01","8","",""
"sandy-sweep-9","0.001","2","0.1540173590183258","0.2410413473844528"
"classic-sweep-8","0.01","2","0.14910361170768738","0.23078955709934235"
"scarlet-sweep-7","0.01","2 2","",""
"rare-sweep-6","0.0003","8","",""
"polished-sweep-5","0.01","4 4","",""
"light-sweep-4","0.001","8","",""
"peachy-sweep-3","0.001","16","0.05005652457475662","0.1422344297170639"
"comfy-sweep-2","0.1","2 2","",""
"vivid-sweep-1","0.01","4","0.09711287915706636","0.22817423939704895"